id,ownerUsername,timestamp,locationName,caption,type,likesCount,commentsCount,videoViewCount,videoPlayCount,videoDuration,videoUrl,musicInfo/artist_name,musicInfo/audio_id,musicInfo/should_mute_audio,musicInfo/should_mute_audio_reason,musicInfo/song_name,musicInfo/uses_original_audio,isSponsored,isPinned,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,hashtags/29,user_followersCount
3522923886333240203,user1,2024-12-14T14:07:55.000Z,Malta,"🐟 

.
.
.
.
.
.
.

#fallstyle #outfitinspiration #coastalstyle #longskirtstyling #thriftedoutfit #vintagestyling #outfitinspo #eurofall #pinterestaesthetic #contentcreatormalta #microinfluencer #styleinspo #ootd",Sidecar,-1.0,114.0,,,,,,,,,,,False,,fallstyle,outfitinspiration,coastalstyle,longskirtstyling,thriftedoutfit,vintagestyling,outfitinspo,eurofall,pinterestaesthetic,contentcreatormalta,microinfluencer,styleinspo,ootd,,,,,,,,,,,,,,,,,,2018
3515616726511352970,user1,2024-12-04T12:09:54.000Z,"Valletta, Malta","🌞

.
.
.
.
.
.
.
.

Fall outfit, thrifted style, vintage clothing outfit inspiration. #streetstyle #thriftedootd #maltacontentcreator #outfitinspo #styleinspo #fallfits #pinterestaesthetic #cafeoutfit #pinterestoutfit",Sidecar,-1.0,118.0,,,,,,,,,,,False,,streetstyle,thriftedootd,maltacontentcreator,outfitinspo,styleinspo,fallfits,pinterestaesthetic,cafeoutfit,pinterestoutfit,,,,,,,,,,,,,,,,,,,,,,2018
3504077318599620013,user1,2024-11-18T14:03:09.000Z,"Naples, Italy","🖼️

.
.
.
.
.
.
.
.

Thrifted fashion inspo, fall outfit, skirt look, layered outfit, Italy outfit, street style, museum aesthetic. #pinterestfall #pinteresteurope #italyootd #museumoutfit #layeredoutfit #fallfits #thriftedstyle #streetstyle #outfitinspiration",Sidecar,-1.0,127.0,,,,,,,,,,,False,,pinterestfall,pinteresteurope,italyootd,museumoutfit,layeredoutfit,fallfits,thriftedstyle,streetstyle,outfitinspiration,,,,,,,,,,,,,,,,,,,,,,2018
3500422427586962100,user1,2024-11-13T13:01:32.000Z,"Naples, Italy","🦂

.
.
.
.
.
.

Night out style, evening look, tights look, heeled outfit, mini skirt, vintage shirt, thrifted clothing styled. #italianevening #nightoutlook #birthdayoutfit #thriftedstyle #streetstyle #eurofashion #falloutfit #pinterestnightout #pinteresteurope #italyoutfit #styleinspo",Sidecar,-1.0,169.0,,,,,,,,,,,False,,italianevening,nightoutlook,birthdayoutfit,thriftedstyle,streetstyle,eurofashion,falloutfit,pinterestnightout,pinteresteurope,italyoutfit,styleinspo,,,,,,,,,,,,,,,,,,,,2018
3502520894870331632,user1,2024-11-16T10:30:49.000Z,"Sorrento, Italy","☮️🫂🌞 the most beautiful day 

.
.
.
.
.
.
.
.

#birthdayoutfit #fallfits #outfitinspiration #italyootd #coastaloutfit #longskirtlook #vintageclothingstyle #thriftedoutfit #outfitinspo #elegantaesthetic #pinterestaesthetic #italianfall #styleinspo #ootd #eurofallstyle",Sidecar,-1.0,159.0,,,,,,,,,,,False,,birthdayoutfit,fallfits,outfitinspiration,italyootd,coastaloutfit,longskirtlook,vintageclothingstyle,thriftedoutfit,outfitinspo,elegantaesthetic,pinterestaesthetic,italianfall,styleinspo,ootd,eurofallstyle,,,,,,,,,,,,,,,,2018
3510596884330732735,user1,2024-11-27T13:56:22.000Z,"Gozo, Malta","I’ll be here from now on 🏜️

.
.
.
.
.
.
.
.
.

#outfitinspiration #influencermalta #falloutfit #eurofall #pinterestaesthetic #coastaloutfit #longskirtlook #thriftedstyle #styleinspiration #outfitinspo",Sidecar,-1.0,151.0,,,,,,,,,,,False,,outfitinspiration,influencermalta,falloutfit,eurofall,pinterestaesthetic,coastaloutfit,longskirtlook,thriftedstyle,styleinspiration,outfitinspo,,,,,,,,,,,,,,,,,,,,,2018
3518575833828663340,user1,2024-12-08T14:09:07.000Z,"Valletta, Malta","Happy Christmas month <3

.
.
.
.
.
.
.

Christmas market aesthetic, December outfit, denim look, all denim outfit, street style, outfit inspo winter. #winterootd #streetstyle #denimlook #thriftedstyle #dieseldenim #outfitinspo #pinterestaesthetic #y2koutfit #lowrisejeans #styleinspo #contentcreatormalta",Sidecar,-1.0,114.0,,,,,,,,,,,False,,winterootd,streetstyle,denimlook,thriftedstyle,dieseldenim,outfitinspo,pinterestaesthetic,y2koutfit,lowrisejeans,styleinspo,contentcreatormalta,,,,,,,,,,,,,,,,,,,,2018
3507574123173966037,user1,2024-11-23T09:50:40.000Z,"Naples, Italy","Last from Napoli ❤️‍🩹

.
.
.
.
.
.
.
.
.

Fall aesthetic, fall outfit in Italy, autumn outfit inspo, thrifted outfit, street style. #streetstyle #italyootd #autumnoutfits #fallfits #outfitinspiration #pinterestfall #euroaesthetics #styleinspo #thriftedoutfit #microinfluencer #influencermalta #contentcreator #howtostyle",Sidecar,-1.0,132.0,,,,,,,,,,,False,,streetstyle,italyootd,autumnoutfits,fallfits,outfitinspiration,pinterestfall,euroaesthetics,styleinspo,thriftedoutfit,microinfluencer,influencermalta,contentcreator,howtostyle,,,,,,,,,,,,,,,,,,2018
3505569295782409401,user2,2024-11-20T15:27:26.000Z,,"which one would you wear?
#fallfit #autumnfits #vintagefits",Sidecar,-1.0,116.0,,,,,,,,,,,False,,fallfit,autumnfits,vintagefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3525168600442355080,user3,2024-12-17T16:27:46.000Z,"Valletta, Malta","GIVEAWAY / a d💘 to all the fashion girlies, we’re giving away YET ANOTHER personalised experience ✨ Win a €100 curated collection just for YOU! It will be based on your size & pinterest board complete with different options to try on during your fitting 🥰 all you have to do is:
1. Follow @_thrift_in_the_city_ , @mayamifsud__ & @hey_its_samii 👯‍♀️
2. Like & tag your friends (1 comment=1 entry so comment as many times as you’d like)
3. Reshare this! ✨🎄 winner announced in a week, good luck!! 💘
-
#thriftmalta #thriftvalletta #malta #valletta #christmasinvalletta #christmas",Sidecar,249.0,575.0,,,,,,,,,,,False,,thriftmalta,thriftvalletta,malta,valletta,christmasinvalletta,christmas,,,,,,,,,,,,,,,,,,,,,,,,,0
